2013-11-29;"SEM SELO";INDIVIDUAL;;Feminino;;"Sul 2";"CAMPO LIMPO";"CAPAO REDONDO"
2013-11-29;"SEM SELO";INDIVIDUAL;;Feminino;;"Sul 2";"CAMPO LIMPO";"CAMPO LIMPO"
2013-11-29;"SEM SELO";COLETIVO;;;;"Sul 2";"CAMPO LIMPO";"CAPAO REDONDO"
2013-11-29;"SEM SELO";INDIVIDUAL;;Masculino;;"Sul 2";"M'BOI MIRIM";"JD SAO LUIS"
2013-11-29;"SEM SELO";INDIVIDUAL;;Feminino;;"Sul 2";"CAMPO LIMPO";"CAMPO LIMPO"
2013-11-29;"SEM SELO";INDIVIDUAL;;Masculino;;"Sul 2";PARELHEIROS;PARELHEIROS
2013-11-29;"SEM SELO";INDIVIDUAL;;Feminino;;;;
2013-11-29;"SEM SELO";INDIVIDUAL;;Masculino;;"Sul 2";PARELHEIROS;PARELHEIROS
2013-11-29;"SEM SELO";INDIVIDUAL;;;;"Sul 2";"M'BOI MIRIM";"JD SAO LUIS"
2013-11-29;"SEM SELO";COLETIVO;;Masculino;;"Sul 2";"M'BOI MIRIM";"JD SAO LUIS"
2013-11-29;"SEM SELO";INDIVIDUAL;Branca;Masculino;3;Oeste;LAPA;LAPA
2013-11-29;"SEM SELO";INDIVIDUAL;;;;;;
2013-11-29;"SEM SELO";INDIVIDUAL;;;;Oeste;LAPA;PERDIZES
2013-11-29;"SEM SELO";INDIVIDUAL;;Feminino;;;;
2013-11-29;"SEM SELO";INDIVIDUAL;;Feminino;;;;
2013-11-29;"SEM SELO";INDIVIDUAL;;Masculino;;;;
2013-11-29;"SEM SELO";INDIVIDUAL;;;;;;
2013-11-29;"SEM SELO";INDIVIDUAL;;Feminino;;;;
2013-11-29;"SEM SELO";INDIVIDUAL;;Feminino;;;;
2013-11-29;"SEM SELO";INDIVIDUAL;;Feminino;;;;
2013-11-29;"SEM SELO";INDIVIDUAL;;Masculino;;;;
2013-11-29;"SEM SELO";INDIVIDUAL;;;;;;
2013-12-03;"SEM SELO";INDIVIDUAL;;;3;Oeste;LAPA;PERDIZES
2013-12-04;"SEM SELO";INDIVIDUAL;;;;;;
2013-12-04;"SEM SELO";INDIVIDUAL;;;;;;
2013-12-04;"SEM SELO";COLETIVO;;;;;;
2013-12-04;"SEM SELO";COLETIVO;;Masculino;;"Sul 2";PARELHEIROS;PARELHEIROS
2013-12-04;"SEM SELO";INDIVIDUAL;;Feminino;;"Sul 2";"CAMPO LIMPO";"CAMPO LIMPO"
2013-12-04;"SEM SELO";COLETIVO;;;;"Sul 2";"CAMPO LIMPO";"CAPAO REDONDO"
2013-12-04;"SEM SELO";COLETIVO;;;;"Sul 2";"CAMPO LIMPO";"CAPAO REDONDO"
2013-12-04;"SEM SELO";COLETIVO;;;;"Sul 2";"CAMPO LIMPO";"CAPAO REDONDO"
2013-12-04;"SEM SELO";COLETIVO;;Masculino;;"Sul 1";IPIRANGA;SACOMA
2013-12-04;"SEM SELO";COLETIVO;;;;"Sul 2";"CAMPO LIMPO";"CAPAO REDONDO"
2013-12-04;"SEM SELO";COLETIVO;;;;"Sul 2";"CAMPO LIMPO";"CAMPO LIMPO"
2013-12-04;"SEM SELO";COLETIVO;;;;"Sul 2";"CAMPO LIMPO";"CAPAO REDONDO"
2013-12-05;"SEM SELO";COLETIVO;;;;"Sul 2";"CAMPO LIMPO";"CAMPO LIMPO"
2013-12-05;"SEM SELO";INDIVIDUAL;;;;"Sul 2";"CAMPO LIMPO";"CAMPO LIMPO"
2013-12-05;"SEM SELO";INDIVIDUAL;;;;"Sul 2";"M'BOI MIRIM";"JD SAO LUIS"
2013-12-05;"SEM SELO";INDIVIDUAL;;;;"Sul 2";"M'BOI MIRIM";"JD SAO LUIS"
2013-12-05;"SEM SELO";COLETIVO;;;;"Sul 2";"CAMPO LIMPO";"CAMPO LIMPO"
2013-12-05;"SEM SELO";INDIVIDUAL;;Feminino;;;;
2013-12-05;"SEM SELO";COLETIVO;;;;;;
2013-12-05;"SEM SELO";INDIVIDUAL;;;;Oeste;BUTANTA;"RAPOSO TAVARES"
2013-12-05;"SEM SELO";COLETIVO;;;;;;
2013-12-05;"SEM SELO";COLETIVO;;;;;;
2013-12-05;"SEM SELO";COLETIVO;;Masculino;;;;
2013-12-05;"SEM SELO";INDIVIDUAL;;Masculino;;;;
2013-12-05;"SEM SELO";COLETIVO;;Masculino;;;;
2013-12-05;"SEM SELO";COLETIVO;;;;;;
2013-12-05;"SEM SELO";COLETIVO;;;;"Sul 2";"CAMPO LIMPO";"CAMPO LIMPO"
2013-12-05;"SEM SELO";INDIVIDUAL;;Masculino;;"Sul 2";"M'BOI MIRIM";"JD SAO LUIS"
2013-12-05;"SEM SELO";COLETIVO;;;;;;
2013-12-05;"SEM SELO";COLETIVO;;;;"Norte 1";"CASA VERDE-CACHOEIRINHA";LIMAO
2013-12-05;"SEM SELO";INDIVIDUAL;;Masculino;;"Sul 2";"M'BOI MIRIM";"JD SAO LUIS"
2013-12-05;"SEM SELO";COLETIVO;;;;"Sul 2";PARELHEIROS;PARELHEIROS
2013-12-05;"SEM SELO";COLETIVO;;;;"Sul 2";"CAMPO LIMPO";"CAMPO LIMPO"
2013-12-05;"SEM SELO";COLETIVO;;;;"Norte 1";"CASA VERDE-CACHOEIRINHA";"CASA VERDE"
2013-12-05;"SEM SELO";COLETIVO;;Masculino;;"Sul 2";"M'BOI MIRIM";"JD SAO LUIS"
2013-12-05;"SEM SELO";COLETIVO;;;;"Sul 2";"M'BOI MIRIM";"JD SAO LUIS"
2013-12-05;"SEM SELO";COLETIVO;;;;"Sul 2";"CAMPO LIMPO";"CAMPO LIMPO"
2013-12-05;"SEM SELO";INDIVIDUAL;;;;"Sul 2";"CAMPO LIMPO";"CAMPO LIMPO"
2013-12-06;"SEM SELO";COLETIVO;;;;;;
2013-12-06;"SEM SELO";INDIVIDUAL;;;;"Sul 2";"CAMPO LIMPO";"CAPAO REDONDO"
2013-12-06;"SEM SELO";INDIVIDUAL;;;;;;
2013-12-06;"SEM SELO";INDIVIDUAL;;;;;;
2013-12-06;"SEM SELO";COLETIVO;;Masculino;;;;
2013-12-06;"SEM SELO";INDIVIDUAL;;;;Oeste;BUTANTA;"RAPOSO TAVARES"
2013-12-06;"SEM SELO";COLETIVO;;;;;;
2013-12-06;"SEM SELO";INDIVIDUAL;;;;"Sul 2";"M'BOI MIRIM";"JD SAO LUIS"
2013-12-06;"SEM SELO";INDIVIDUAL;;;;"Sul 2";"CAMPO LIMPO";"CAPAO REDONDO"
2013-12-06;"SEM SELO";INDIVIDUAL;;;;;;
2013-12-06;"SEM SELO";INDIVIDUAL;;;;;;
2013-12-06;"SEM SELO";INDIVIDUAL;;;;"Sul 2";"CAMPO LIMPO";"CAPAO REDONDO"
2013-12-06;"SEM SELO";INDIVIDUAL;;;;"Sul 2";"M'BOI MIRIM";"JD ANGELA"
